Autoridad,Año,Bloque,Destino,Expediente,Fecha_llegada,Fecha_salida,Motivo,Viaticos_Total_Dolar,Viaticos_Total_Pesos,Viaticos_dolar,Viaticos_euro,Viaticos_pesos,Duracion_viaje
"BERMEJO, Rolando Adolfo",2012,Frente para la Victoria,Chile,HSN 0204/2012,2012-02-08 00:00:00,2012-02-02 00:00:00,Feria Internacional de Integración Papudo,1000.0,4350.0,1000.0,0.0,0.0,6.0
"BIANCALANI, Fabio Dario",2012,Frente para la Victoria,México,HSN 0284/2012,2012-02-26 00:00:00,2012-02-19 00:00:00,Eurolat,1493.8398357289527,7274.999999999999,1500.0,0.0,0.0,7.0
"CORRADI DE BELTRAN, Ana María",2012,Frente para la Victoria,Costa Rica,HSN 0569/2012,2012-03-08 00:00:00,2012-03-03 00:00:00,Parlaméricas,1195.0718685831619,5820.0,1200.0,0.0,0.0,5.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2012,Frente Cívico Por Santiago,Costa Rica,HSN 0496/2012,2012-03-11 00:00:00,2012-03-05 00:00:00,Parlaméricas,1400.0,6097.000000000001,1400.0,0.0,0.0,6.0
"CASTILLO, Oscar Aníbal",2012,Frente Cívico Y Social De Catamarca,Francia,HSN 0652/2012,2012-03-18 00:00:00,2012-03-11 00:00:00,World Water Forum,2725.2566735112937,13272.0,0.0,2100.0,0.0,7.0
"RIOFRÍO, Marina Raquel",2012,Frente para la Victoria,Chile,HSN 0821/2012,2012-03-16 00:00:00,2012-03-15 00:00:00,Comitiva oficial,200.0,874.0,200.0,0.0,0.0,1.0
"BIANCALANI, Fabio Dario",2012,Frente para la Victoria,Italia,HSN 0917/2012,2012-04-01 00:00:00,2012-03-26 00:00:00,Foro Eurolatinoamericano de las Mujeres,3023.2346241457867,13272.0,0.0,2100.0,0.0,6.0
"ROMERO, Juan Carlos",2012,Frente para la Victoria,Uganda,HSN 0521/2012,2012-04-06 00:00:00,2012-03-28 00:00:00,Reunión Interparlamentaria,3000.0,13169.999999999998,3000.0,0.0,0.0,9.0
"FILMUS, Daniel Fernando",2012,Frente para la Victoria,Uganda,HSN 0521/2012,2012-04-06 00:00:00,2012-03-28 00:00:00,Reunión Interparlamentaria,3000.0,13169.999999999998,3000.0,0.0,0.0,9.0
"ESCUDERO, Sonia Margarita",2012,Justicialista 8 De Octubre,Uganda,HSN 0521/2012,2012-04-06 00:00:00,2012-03-28 00:00:00,Reunión Interparlamentaria,3000.0,13169.999999999998,3000.0,0.0,0.0,9.0
"GIUSTINIANI, Rubén Héctor",2012,Partido Socialista,Uganda,HSN 0521/2012,2012-04-06 00:00:00,2012-03-28 00:00:00,Reunión Interparlamentaria,3000.0,13169.999999999998,3000.0,0.0,0.0,9.0
"LEGUIZAMÓN, María Laura",2012,Frente para la Victoria,Estados Unidos,HSN 0854/2012,2012-04-10 00:00:00,2012-04-02 00:00:00,Reunión Américas,2091.3757700205333,10185.0,2100.0,0.0,0.0,8.0
"BIANCALANI, Fabio Dario",2012,Frente para la Victoria,Uruguay,HSN 1067/2012,2012-04-13 00:00:00,2012-04-12 00:00:00,Mercosur,400.0,1762.0,400.0,0.0,0.0,1.0
