Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_dolar,Viaticos_pesos,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"BERMEJO, Rolando Adolfo",HSN 0204/2012,Chile,02-02-2012,08-02-2012,1000.0,0.0,0.0,Feria Internacional de Integración Papudo,PJ Frente para la Victoria,4350.0,1000.0000000000001
"BIANCALANI, Fabio Dario",HSN 0284/2012,México,19-02-2012,26-02-2012,1500.0,0.0,0.0,Eurolat,PJ Frente para la Victoria,7274.999999999999,1493.8398357289525
"CORRADI DE BELTRAN, Ana María",HSN 0569/2012,Costa Rica,03-03-2012,08-03-2012,1200.0,0.0,0.0,Parlaméricas,PJ Frente para la Victoria,5820.0,1195.071868583162
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",HSN 0496/2012,Costa Rica,05-03-2012,11-03-2012,1400.0,0.0,0.0,Parlaméricas,Frente Cívico por Santiago,6097.000000000001,1400.0
"CASTILLO, Oscar Aníbal",HSN 0652/2012,Francia,11-03-2012,18-03-2012,0.0,0.0,2100.0,World Water Forum,Frente Cívico y Social de Catamarca,13272.0,2725.2566735112937
"RIOFRÍO, Marina Raquel",HSN 0821/2012,Chile,15-03-2012,16-03-2012,200.0,0.0,0.0,Comitiva oficial,PJ Frente para la Victoria,874.0,200.0
"BIANCALANI, Fabio Dario",HSN 0917/2012,Italia,26-03-2012,01-04-2012,0.0,0.0,2100.0,Foro Eurolatinoamericano de las Mujeres,PJ Frente para la Victoria,13272.0,3023.2346241457863
"ROMERO, Juan Carlos",HSN 0521/2012,Uganda,28-03-2012,06-04-2012,3000.0,0.0,0.0,Reunión Interparlamentaria,PJ Frente para la Victoria,13169.999999999998,3000.0
"FILMUS, Daniel Fernando",HSN 0521/2012,Uganda,28-03-2012,06-04-2012,3000.0,0.0,0.0,Reunión Interparlamentaria,PJ Frente para la Victoria,13169.999999999998,3000.0
"ESCUDERO, Sonia Margarita",HSN 0521/2012,Uganda,28-03-2012,06-04-2012,3000.0,0.0,0.0,Reunión Interparlamentaria,Justicialista 8 de Octubre,13169.999999999998,3000.0
"GIUSTINIANI, Rubén Héctor",HSN 0521/2012,Uganda,28-03-2012,06-04-2012,3000.0,0.0,0.0,Reunión Interparlamentaria,Partido Socialista,13169.999999999998,3000.0
"LEGUIZAMÓN, María Laura",HSN 0854/2012,Estados Unidos,02-04-2012,10-04-2012,2100.0,0.0,0.0,Reunión Américas,PJ Frente para la Victoria,10185.0,2091.3757700205338
"BIANCALANI, Fabio Dario",HSN 1067/2012,Uruguay,12-04-2012,13-04-2012,400.0,0.0,0.0,Mercosur,PJ Frente para la Victoria,1762.0,400.0
"BONGIORNO, María José",HSN 1233/2012,Colombia,13-04-2012,15-04-2012,600.0,0.0,0.0,Cumbre de las Américas,PJ Frente para la Victoria,2646.0,600.0
"ESTENSSORO, María Eugenia",HSN 1241/2012,Estados Unidos,01-05-2012,08-05-2012,1800.0,0.0,0.0,Simposio RAP Universidad de Columbia,Coalición Cívica,8730.0,1792.6078028747434
"MORANDINI, Norma Elena",HSN 1547/2012,Estados Unidos,01-05-2012,06-05-2012,1800.0,0.0,0.0,Conferencia Simposio Rap,Frente Cívico de la Provincia de Córdoba,8730.0,1792.6078028747434
"GIUSTINIANI, Rubén Héctor",HSN 1547/2012,Estados Unidos,01-05-2012,08-05-2012,1800.0,0.0,0.0,Conferencia Simposio Rap,Partido Socialista,8730.0,1792.6078028747434
"BIANCALANI, Fabio Dario",HSN 1427/2012,Alemania,01-05-2012,08-05-2012,0.0,0.0,2100.0,Mercosur,PJ Frente para la Victoria,13272.0,2725.2566735112937
"MARINO, Juan Carlos",HSN 1692/2012,Ecuador,15-05-2012,20-05-2012,1200.0,0.0,0.0,Reunión Comisión Asuntos Políticos,Unión Cívica Radical,5352.0,1200.0
"DÍAZ, María Rosa",HSN 1615/2012,Turquía,22-05-2012,30-05-2012,2100.0,0.0,0.0,CIPD,Nuevo Encuentro,9408.0,2100.0
"CORREGIDO, Elena Mercedes",HSN 1615/2012,Turquía,22-05-2012,30-05-2012,2100.0,0.0,0.0,CIPD,PJ Frente para la Victoria,9408.0,2100.0
"BERMEJO, Rolando Adolfo",HSN 1748/2012,Chile,22-05-2012,25-05-2012,800.0,0.0,0.0,Seminario Internacional de Planificación Urbana,PJ Frente para la Victoria,3584.0000000000005,800.0
"NEGRE DE ALONSO, Liliana Teresita",HSN 1574/2012,España/Italia,23-05-2012,03-06-2012,0.0,0.0,3600.0,VII Encuentro Mundial de las Familias,Justicialista San Luis,20700.0,4620.535714285714
"FELLNER, Liliana Beatriz",HSN 1761/2012,Panamá,25-05-2012,31-05-2012,1750.0,0.0,0.0,II Cumbre Cooperativa de las Américas,PJ Frente para la Victoria,8487.5,1742.8131416837782
"BLAS, Inés Imelda",HSN 1761/2012,Panamá,27-05-2012,04-06-2012,1750.0,0.0,0.0,II Cumbre Cooperativa de las Américas,PJ Frente para la Victoria,8487.5,1742.8131416837782
"HIGONET, María de los Ángeles",HSN 1761/2012,Panamá,25-05-2012,31-05-2012,1750.0,0.0,0.0,II Cumbre Cooperativa de las Américas,PJ La Pampa,8487.5,1742.8131416837782
