Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque,Viaticos_Total_Pesos,Viaticos_Total_Dolar
"RIOFRÍO, Marina Raquel",HSN 64-2013,Estados Unidos,17-01-2013,30-01-2013,0.0,2100.0,0.0,Primer Período Ordinario Mujeres ONU,Frente para la Victoria,10405.5,2100.0
"MARINO, Juan Carlos",HSN 118-2013,Filipinas,26-01-2013,10-02-2013,0.0,2100.0,0.0,V Conferencia Mundial Parlamentarios contra la Corrupción,Unión Cívica Radical,13125.0,2094.972067039106
"ROLDAN, José María",HSN 5343-2012,España,28-01-2013,06-02-2013,0.0,0.0,2100.0,Feria Internacional de Turismo FITUR,Frente para la Victoria,14070.0,2825.301204819277
"HIGONET, María de los Ángeles",HSN 5446-2012,Cuba,27-01-2013,09-02-2013,0.0,600.0,0.0,III Conferencia Internacional por el Equilibrio del Mundo,PJ La Pampa,3750.0,598.5634477254589
"GIUSTINIANI, Rubén Héctor",HSN 5311-2012,Filipinas,25-01-2013,05-02-2013,0.0,2100.0,0.0,V Conferencia Mundial Parlamentarios contra la Corrupción,Partido Socialista,10437.0,2100.0
"BIANCALANI, Fabio Dario",HSN 68-2013,Chile,22-01-2013,26-01-2013,4942.0,0.0,0.0,EUROLAT,Frente para la Victoria,4942.0,995.3675730110775
"RODRÍGUEZ SAÁ, Adolfo",HSN 68-2013,Chile,22-01-2013,26-01-2013,4942.0,0.0,0.0,EUROLAT,PJ de San Luis,4942.0,995.3675730110775
"ROJKES DE ALPEROVICH, Beatriz",HSN 68-2013,Chile,23-01-2013,26-01-2013,0.0,0.0,0.0,EUROLAT,Frente para la Victoria,0.0,0.0
"FILMUS, Daniel Fernando",HSN 265-2013,Inglaterra,03-02-2013,08-02-2013,0.0,0.0,1800.0,Programa Encuentro de Grupos Europeos Prodiálogo sobre la Cuestión Malvinas,Frente para la Victoria,14615.999999999998,2332.9608938547485
"BERMEJO, Rolando Adolfo",HSN 372-2013,Chile,06-02-2013,12-02-2013,0.0,1400.0,0.0,VII Feria Internacional de Integración de Paupudo 2013,Frente para la Victoria,6986.0,1400.0
"LINARES, Jaime",HSN 419-2013,Ecuador,14-02-2013,19-02-2013,0.0,1200.0,0.0,Elecciones generales Ecuador,Gen,6012.0,1200.0
"IRRÁZABAL, Juan Manuel",HSN 393-2013,Ecuador,14-02-2013,19-02-2013,0.0,1200.0,0.0,Elecciones generales Ecuador,Frente para la Victoria,6012.0,1200.0
"CORREGIDO, Elena Mercedes",HSN 756-2013,Estados Unidos,03-03-2013,08-03-2013,0.0,1200.0,0.0,Comisión de la Situación de la Mujer,Frente para la Victoria,7500.0,1197.1268954509178
"RIOFRÍO, Marina Raquel",HSN 452-2013,Estados Unidos,03-03-2013,08-03-2013,0.0,1800.0,0.0,Comisión de la Situación de la Mujer,Frente para la Victoria,11250.0,1795.6903431763767
"FILMUS, Daniel Fernando",HSN 943-2013,Estados Unidos,13-03-2013,20-03-2013,0.0,2100.0,0.0,Objetivos del Milenio +15,Frente para la Victoria,10668.0,2100.0
"GIUSTINIANI, Rubén Héctor",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Partido Socialista,9743.999999999998,1555.3072625698321
"JUEZ, Luis",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Frente Cívico De La Provincia De Córdoba,9743.999999999998,1555.3072625698321
"COLAZO, Mario Jorge",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Frente para la Victoria,9743.999999999998,1555.3072625698321
"CIMADEVILLA, Mario Jorge",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Unión Cívica Radical,9743.999999999998,1555.3072625698321
"FERNÁNDEZ, Aníbal Domingo",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Frente para la Victoria,9743.999999999998,1555.3072625698321
"AGUIRRE, Hilda Clelia",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Frente para la Victoria,9743.999999999998,1555.3072625698321
"MARINO, Juan Carlos",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Unión Cívica Radical,9743.999999999998,1555.3072625698321
"CANO, José Manuel",HSN 1045-2013,Italia,17-03-2013,20-03-2013,0.0,0.0,1200.0,Asunción del papa Francisco,Unión Cívica Radical,9743.999999999998,1555.3072625698321
"ESCUDERO, Sonia Margarita",HSN 652/2013,Ecuador,22-03-2013,27-03-2013,0.0,1400.0,0.0,Asamblea Unión Interparlamentaria,Justicialista 8 De Octubre,7161.0,1400.0
"IRRÁZABAL, Juan Manuel",HSN 652/2013,Ecuador,22-03-2013,27-03-2013,0.0,1000.0,0.0,Asamblea Unión Interparlamentaria,Frente para la Victoria,5115.0,1000.0
"GIUSTINIANI, Rubén Héctor",HSN 652/2013,Ecuador,22-03-2013,27-03-2013,0.0,1400.0,0.0,Asamblea Unión Interparlamentaria,Partido Socialista,7161.0,1400.0
"FELLNER, Liliana Beatriz",HSN 652/2013,Ecuador,22-03-2013,27-03-2013,0.0,1000.0,0.0,Asamblea Unión Interparlamentaria,Frente para la Victoria,5115.0,1000.0
"FILMUS, Daniel Fernando",HSN 652/2013,Ecuador,22-03-2013,27-03-2013,0.0,1200.0,0.0,Asamblea Unión Interparlamentaria,Frente para la Victoria,6138.0,1200.0
