Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo
"HIGONET, María de los Angeles",HSN 6548 2013,Chile,08-01-2014,10-01-2014,3927.0,0.0,0.0,Reforma de Reglamento de GRULAC
"ROJKES DE ALPEROVICH, Beatriz",HSN 93 2014,Venezuela,28-01-2014,01-02-2014,0.0,0.0,0.0,MERCOSUR
"BERMEJO, Rolando",HSN 430 2014,Chile,04-02-2014,08-02-2014,6320.0,0.0,0.0,Feria Internacional del Papudo 2014
"ROLDAN, José María",HSN 425 2014,Italia,12-02-2014,20-02-2014,0.0,0.0,2100.0,Bolsa Internacional de Turismo BIT
"MAYANS, José Miguel Angel",HSN 588 2014,Uruguay,16-02-2014,18-02-2014,4675.0,0.0,0.0,MERCOSUR
"ROJKES DE ALPEROVICH, Beatriz",HSN 567 2014,Uruguay,16-02-2014,17-02-2014,3116.0,0.0,0.0,MERCOSUR
"BERMEJO, Rolando",HSN 695 2014,Estados Unidos,02-03-2014,09-03-2014,0.0,2100.0,0.0,Seminario de Apoyo de Defensa a las Autoridades Civiles en el Hemisferio Occidental
"PILATTI VERGARA, María Ines",HSN 818 2014,Estados Unidos,05-03-2014,12-03-2014,0.0,1200.0,0.0,Unión Interparlamentaria y ONU Mujeres
"BERTONE, Rosana",HSN 818 2014,Estados Unidos,06-03-2014,12-03-2014,0.0,1200.0,0.0,Unión Interparlamentaria y ONU Mujeres
"URTUBEY, Rodolfo Julio",HSN 1226 2014,Bolivia,08-03-2014,08-03-2014,1572.0,0.0,0.0,Visita Oficial
"GIUSTINIANI, Rubén",HSN 750 2014,Suiza,13-03-2014,19-03-2014,0.0,0.0,2100.0,Unión Interparlamentaria
"HIGONET, María de los Angeles",HSN 750 2014,Suiza,13-03-2014,19-03-2014,0.0,0.0,2100.0,Unión Interparlamentaria
"LATORRE, Roxana",HSN 750 2014,Suiza,13-03-2014,24-03-2014,0.0,0.0,2100.0,Unión Interparlamentaria
"LINARES, Jaime",HSN 750 2014,Suiza,13-03-2014,19-03-2014,0.0,0.0,2100.0,Unión Interparlamentaria
"URTUBEY, Rodolfo Julio",HSN 750 2014,Suiza,13-03-2014,19-03-2014,0.0,0.0,2100.0,Unión Interparlamentaria
"CIMADEVILLA, Mario",HSN 750 2014,Suiza,14-03-2014,19-03-2014,0.0,0.0,1800.0,Unión Interparlamentaria
"LEGUIZAMON, Maria Laura",HSN 1353 2014,Francia,16-03-2014,25-03-2014,0.0,0.0,2100.0,Edición 2014 Salon du Livre de París
"MAYANS, José Miguel Angel",HSN 1107 2014,Uruguay,16-03-2014,18-03-2014,4726.0,0.0,0.0,MERCOSUR
"RIOFRIO, Marina",HSN 738 2014,Estados Unidos,19-03-2014,26-03-2014,0.0,2100.0,0.0,Comisión de la Condición Jurídica de la Mujer
"HIGONET, María de los Angeles",HSN 1083 2014,Grecia,27-03-2014,01-04-2014,0.0,0.0,1800.0,EUROLAT
"ITURREZ DE CAPPELLINI, Ada",HSN 1320 2014,Jamaica,28-03-2014,31-03-2014,0.0,800.0,0.0,Confederación Parlamentaria de las Américas
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 1204 2014,Panamá,03-04-2014,06-04-2014,0.0,750.0,0.0,PARLATINO
"MAYANS, José Miguel Angel",HSN 1569 2014,Uruguay,05-04-2014,08-04-2014,4800.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"PILATTI VERGARA, María Inés",HSN 1521 2014,Bolivia,05-04-2014,09-04-2014,8000.0,0.0,0.0,Conferencia Parlamentaria Internacional
"URTUBEY, Rodolfo Julio",HSN 1521 2014,Bolivia,05-04-2014,09-04-2014,8000.0,0.0,0.0,Conferencia Parlamentaria Internacional
"ITURREZ DE CAPPELLINI, Liliana Beatriz",HSN 1569 2014,Uruguay,06-04-2014,07-04-2014,3200.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
"GARCIA LARRABURU, Silvina",HSN 1569 2014,Uruguay,06-04-2014,07-04-2014,3200.0,0.0,0.0,Reunión Extraordinaria MERCOSUR
