Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque
"ROLDAN, José María",6091/2014,España,26-01-2015,06-02-2015,0.0,0.0,2100.0,Feria Internacional de Turismo FITUR /2015,Frente de Todos
"CREXELL, Carmen Lucila",6214/2014,Estados Unidos,31-01-2015,08-02-2015,0.0,1200.0,0.0,Sesión Anual Jóvenes Parlamentarios Globales ONU,Movimiento Popular Neuquino
"URTUBEY, Rodolfo",6201/ 2014,Chile,15-01-2015,17-01-2015,5133.0,0.0,0.0,IV Congreso del Futuro (Las encrucijadas del siglo XXI),PJ Frente para la Victoria
"CIMADEVILLA, Mario",83/2015,Estados Unidos,09-02-2015,15-02-2015,0.0,1200.0,0.0,Reuniones referidas a Seguridad,Unión Cívica Radical
"IRRAZABAL, Juan Manuel",96/2015,Grecia,21-01-2015,28-01-2015,0.0,0.0,2100.0,Seminario Europeo Latinoamericano Oportunidades de Futuro,PJ Frente para la Victoria
"GODOY, Ruperto",141/2015,Bolivia,21-01-2015,24-01-2015,6884.0,0.0,0.0,"Comitiva representantiva del HSN por traspaso de mando
presidencial",PJ Frente para la Victoria
"CREXELL, Carmen Lucila",5818/2014,España/Reino Unido,19-02-2015,01-03-2015,0.0,0.0,2100.0,Congreso Internacional / Reuniones pautadas por Cancillería,Movimiento Popular Neuquino
"FELLNER, Liliana",349/2015,Panamá,05-02-2015,08-02-2015,0.0,750.0,0.0,Reunión Parlamento Latinoamericano,PJ Frente para la Victoria
"BERMEJO, Rolando",388/2015,Chile,05-02-2015,09-02-2015,6928.0,0.0,0.0,IX Feria Internacional de Papudo,PJ Frente para la Victoria
"FELLNER, Liliana",914/2015,Panamá,15-03-2015,17-03-2015,0.0,750.0,0.0,Reunión de las Comisiones Parlamentarias (EUROLAT),PJ Frente para la Victoria
"HIGONET, María de los Ángeles",914 /2015,Panamá,16-03-2015,19-03-2015,0.0,750.0,0.0,Reunión de las Comisiones Parlamentarias (EUROLAT),PJ La Pampa
"CASTILLO, Oscar",912 /2015,Corea,16-04-2015,01-05-2015,0.0,2100.0,0.0,VII World Water Forum,Frente Cívico y Social de Catamarca
"ABAL MEDINA, Juan",1428 /2015,Ecuador,09-04-2015,11-04-2015,0.0,600.0,0.0,Mesa de Diálogo Parlamento Latinoamericano,PJ Frente para la Victoria
"AGUIRRE DE SORIA, Hilda",1426 /2015,Panamá,08-04-2015,13-04-2015,0.0,1000.0,0.0,Reunión Comisión de Parlamento Latinoamericano,PJ Frente para la Victoria
"GODOY, Ruperto",1426 /2015,Panamá,10-04-2015,12-04-2015,0.0,750.0,0.0,Reunión Comisión de Parlamento Latinoamericano,PJ Frente para la Victoria
"NEGRE DE ALONSO, Liliana",1522 /2015,Armenia,19-04-2015,25-04-2015,0.0,1800.0,0.0,Foro Global y Político en contra del Genocidio,Justicialista San Luis
"GIUSTINIANI, Rubén",1522 /2015,Armenia,20-04-2015,02-05-2015,0.0,2100.0,0.0,Foro Global y Político en contra del Genocidio,Partido Socialista
"ITURREZ DE CAPELLINI, Ada Hilda",1552 /2015,Puerto Rico,16-04-2015,21-04-2015,0.0,1000.0,0.0,XXIX Reunión de la Conf. Parlamentaria de las Américas,Frente Cívico por Santiago
"DE LA ROSA, María",1714 /2015,Colombia,22-04-2015,27-04-2015,0.0,1000.0,0.0,"III Encuentro de Planificación del Frente Parlamentario contra el
Hambre",PJ Frente para la Victoria
"ABAL MEDINA, Juan Manuel",1742 /2015,México,28-04-2015,30-04-2015,0.0,750.0,0.0,Seminario Reforma Política del Estado Mexicano,PJ Frente para la Victoria
"SOLANAS, Fernando",1829 /2015,Italia,25-04-2015,01-05-2015,0.0,0.0,1800.0,Cumbre de las Academias Pontificias de Ciencias Sociales,Proyecto Sur Unen
"CREXELL, Carmen Lucila",1813 /2015,Japón/Bélgica,21-05-2015,07-06-2015,0.0,1500.0,600.0,"Conferencia Mundial de Jóvenes Parlamentarios (UIP) y VIII
Sesión Plenaria Ordinaria de la Asamblea Parlamentaria",Movimiento Popular Neuquino
"FELLNER, Liliana",1977 /2015,Panamá,03-05-2015,05-05-2015,0.0,750.0,0.0,Reunión previa XXX Asamblea Parlamento Latinoamericano,PJ Frente para la Victoria
"MARTINEZ, Alfredo",2273 /2015,Chile,14-05-2015,16-05-2015,3574.0,0.0,0.0,IXX Reunión Parlamentaria Bicameral Argento/Chilena,Unión Cívica Radical
"MAYANS, José Miguel",2236 /2015,Uruguay,18-05-2015,20-05-2015,5361.0,0.0,0.0,Reunión Mesa Directiva Parlamento del MERCOSUR,PJ Frente para la Victoria
"LABADO, María",2089 /2015,Panamá,14-05-2015,18-05-2015,0.0,750.0,0.0,XXX Asamblea ordinaria del Parlamento Latinoamericano,PJ Frente para la Victoria
"NEGRE DE ALONSO, Liliana",2089 /2015,Panamá,13-05-2015,15-05-2015,0.0,750.0,0.0,IXX Reunión Parlamentaria Bicameral Argento/Chilena,Justicialista San Luis
"HIGONET, María de los Ángeles",2132 /2015,Letonia,13-05-2015,18-05-2015,0.0,0.0,1500.0,Reunión EUROLAT,PJ La Pampa
"CIMADEVILLA, Mario",2178 /2015,Estados Unidos,12-05-2015,17-05-2015,0.0,1500.0,0.0,Comisión de Valores de los Estados Unidos,Unión Cívica Radical
