Autoridad,Expediente,Destino,Fecha_salida,Fecha_llegada,Viaticos_pesos,Viaticos_dolar,Viaticos_euro,Motivo,Bloque,dolar_a_peso,euro_a_peso,pesos_total
"PINEDO, Federico",211/2016,Estados Unidos,05-02-2016,11-02-2016,0,1500.0,0.0,ONU,Frente Pro,21675.0,0.0,21675.0
"URTUBEY, Rodolfo Julio",211/2016,Estados Unidos,06-02-2016,10-02-2016,0,1200.0,0.0,ONU,PJ Frente para la Victoria,19260.0,0.0,19260.0
"FELLNER, Liliana Beatriz",370/2016,Panamá,12-02-2016,15-02-2016,0,750.0,0.0,Parlatino,PJ Frente para la Victoria,11175.0,0.0,11175.0
"CREXELL, Carmen Lucila",426/2016,Reino Unido de Gran Bretaña,14-03-2016,17-03-2016,0,0.0,2100.0,Conferencia Parlamentaria Internacional,Movimiento Popular Neuquino,0.0,37695.0,37695.0
"URTUBEY, Rodolfo Julio",1388/2016,Estados Unidos,17-04-2016,24-04-2016,0,1500.0,0.0,ONU,PJ Frente para la Victoria,24075.0,0.0,24075.0
"PEROTTI, Omar Ángel",1398/2016,Estados Unidos,22-04-2016,24-04-2016,0,900.0,0.0,Conferencia Master Argentina,PJ Frente para la Victoria,13140.0,0.0,13140.0
"PINEDO, Federico",1679/2016,Chile,22-04-2016,22-04-2016,0,0.0,0.0,Funeral expresidente Chile,Frente Pro,0.0,0.0,0.0
"MIRKIN, Beatriz Graciela",1688/2016,México,29-04-2016,09-05-2016,0,1250.0,0.0,Congreso Nacional de Peatones,PJ Frente para la Victoria,18125.0,0.0,18125.0
"FELLNER, Liliana Beatriz",1387/2016,Panamá,07-04-2016,09-04-2016,0,1000.0,0.0,Parlatino,PJ Frente para la Victoria,14700.0,0.0,14700.0
"RODRÍGUEZ SAÁ, Adolfo",1897/2016,Portugal,14-05-2016,19-05-2016,0,0.0,1500.0,Eurolat,Justicialista San Luis,0.0,26550.0,26550.0
"PEROTTI, Omar Ángel",1897/2016,Portugal,12-05-2016,19-05-2016,0,0.0,1500.0,Eurolat,PJ Frente para la Victoria,0.0,25800.0,25800.0
"ROZAS, Ángel",1897/2016,Portugal,12-05-2016,20-05-2016,0,0.0,2100.0,Eurolat,Unión Cívica Radical,0.0,36120.0,36120.0
"MERA, Dalmacio Enrique",1981/2016,Reino Unido de Gran Bretaña/Italia,19-05-2016,01-06-2016,0,0.0,2100.0,Audiencia con el Papa y reuniones varias,PJ Frente para la Victoria,0.0,36120.0,36120.0
"ITÚRREZ de CAPPELLINI, Ada Rosa Del Valle",2097/2016,Ecuador,01-06-2016,05-06-2016,0,800.0,0.0,Encuentro Anual Mujeres Parlamericas,PJ Frente para la Victoria,11360.0,0.0,11360.0
"DURANGO, Norma Haydée",2097/2016,Ecuador,01-06-2016,06-06-2016,0,1000.0,0.0,Encuentro Anual Mujeres Parlamericas,PJ La Pampa,14200.0,0.0,14200.0
"RIOFRÍO, Marina Raquel",2097/2016,Ecuador,01-06-2016,06-06-2016,0,1000.0,0.0,Encuentro Anual Mujeres Parlamericas,PJ Frente para la Victoria,14200.0,0.0,14200.0
"BOYADJIAN, Miriam Ruth",2097/2016,Ecuador,01-06-2016,05-06-2016,0,800.0,0.0,Encuentro Anual Mujeres Parlamericas,Movimiento Popular Fueguino,11360.0,0.0,11360.0
"PINEDO, Federico",2261/2016,Reino Unido de Gran Bretaña/Irlanda,03-06-2016,13-06-2016,0,0.0,2100.0,Encuentro All Party Parlamentary Group,Frente Pro,0.0,36120.0,36120.0
"LOVERA, Daniel Aníbal",2132/2016,Suiza,06-06-2016,15-06-2016,0,0.0,2100.0,OIT,PJ La Pampa,0.0,36120.0,36120.0
"GIACOPPO, Silvia Del Rosario",2132/2016,Suiza,06-06-2016,11-06-2016,0,0.0,1500.0,OIT,Unión Cívica Radical,0.0,25800.0,25800.0
"NEGRE DE ALONSO, Liliana",2132/2016,Suiza,06-06-2016,11-06-2016,0,0.0,1500.0,OIT,Justicialista San Luis,0.0,25800.0,25800.0
"PAIS, Juan Mario",2132/2016,Suiza,06-06-2016,11-06-2016,0,0.0,1500.0,OIT,PJ Frente para la Victoria,0.0,25800.0,25800.0
"CREXELL, Carmen Lucila",2261/2016,Reino Unido de Gran Bretaña/Irlanda,05-06-2016,11-06-2016,0,0.0,1500.0,Encuentro All Party Parlamentary Group,Movimiento Popular Neuquino,0.0,26550.0,26550.0
"ESPINOLA, Carlos",2261/2016,Reino Unido de Gran Bretaña/Irlanda,06-06-2016,09-06-2016,0,0.0,900.0,Encuentro All Party Parlamentary Group,PJ Frente para la Victoria,0.0,15480.0,15480.0
"AGOSTINI, Marta Lucía",2438/2016,Cuba,16-06-2016,19-06-2016,0,800.0,0.0,Parlatino,Frente Pro,11280.0,0.0,11280.0
"LUENZO, Alfredo Héctor",2438/2016,Cuba,16-06-2016,20-06-2016,0,800.0,0.0,Parlatino,Chubut Somos Todos,11280.0,0.0,11280.0
"PILATTI VERGARA, María Inés",2438/2016,Cuba,16-06-2016,25-06-2016,0,800.0,0.0,Parlatino,PJ Frente para la Victoria,11280.0,0.0,11280.0
"PINEDO, Federico",2453/2016,Estados Unidos,22-06-2016,24-06-2016,0,900.0,0.0,ONU,Frente Pro,12780.0,0.0,12780.0
"COBOS, Julio César",2453/2016,Estados Unidos,21-06-2016,25-06-2016,0,1200.0,0.0,ONU,Unión Cívica Radical,16920.0,0.0,16920.0
"BOYADJIAN, Miriam Ruth",2453/2016,Estados Unidos,22-06-2016,27-06-2016,0,1500.0,0.0,ONU,Movimiento Popular Fueguino,21300.0,0.0,21300.0
"FELLNER, Liliana Beatriz",2521/2016,Panamá,22-06-2016,27-06-2016,0,1250.0,0.0,Parlatino,PJ Frente para la Victoria,17750.0,0.0,17750.0
"BRAILLARD POCCARD, Néstor",2521/2016,Panamá,23-06-2016,27-06-2016,0,1000.0,0.0,Parlatino,Frente Pro,14650.0,0.0,14650.0
"FELLNER, Liliana Beatriz",2952/2016,Panamá,28-07-2016,30-07-2016,0,750.0,0.0,Parlatino,PJ Frente para la Victoria,11400.0,0.0,11400.0
"PINEDO, Federico",2834/2016,Chile,12-07-2016,13-07-2016,0,400.0,0.0,Homenaje Bicentenario de la Independencia Argentina,Frente Pro,5920.0,0.0,5920.0
"DE LA ROSA, Graciela",3335/2016,Chile,01-09-2016,04-09-2016,0,800.0,0.0,Parlatino,PJ Frente para la Victoria,12080.0,0.0,12080.0
"MERA, Dalmacio Enrique",3335/2016,Chile,01-09-2016,03-09-2016,0,400.0,0.0,Parlatino,PJ Frente para la Victoria,6040.0,0.0,6040.0
"PAIS, Juan Mario",3335/2016,Chile,01-09-2016,04-09-2016,0,400.0,0.0,Parlatino,PJ Frente para la Victoria,6040.0,0.0,6040.0
"FELLNER, Liliana Beatriz",3335/2016,Chile,31-08-2016,02-09-2016,0,600.0,0.0,Parlatino,PJ Frente para la Victoria,9060.0,0.0,9060.0
"MENEM, Carlos Saúl",3503/2016,Italia,15-09-2016,21-09-2016,0,1800.0,0.0,Invitación especial como expresidente,Federalismo y Liberación,27450.0,0.0,27450.0
"RODRÍGUEZ SAÁ, Adolfo",3614/2016,Uruguay,19-09-2016,22-09-2016,0,800.0,0.0,Eurolat,Justicialista San Luis,12280.0,0.0,12280.0
"ROZAS, Ángel",3614/2016,Uruguay,18-09-2016,22-09-2016,0,1000.0,0.0,Eurolat,Unión Cívica Radical,16050.0,0.0,16050.0
"PEROTTI, Omar Ángel",3614/2016,Uruguay,18-09-2016,21-09-2016,0,800.0,0.0,Eurolat,PJ Frente para la Victoria,12840.0,0.0,12840.0
"GIACOPPO, Silvia del Rosario",3614/2016,Uruguay,19-09-2016,22-09-2016,0,800.0,0.0,Eurolat,Unión Cívica Radical,12280.0,0.0,12280.0
"URTUBEY, Rodolfo Julio",3542/2016,Uruguay,28-09-2016,29-09-2016,0,400.0,0.0,Seminario Parlamentario,PJ Frente para la Victoria,6220.0,0.0,6220.0
"LUENZO, Alfredo Héctor",3812/2016,Costa Rica,22-09-2016,02-10-2016,0,1000.0,0.0,Congreso Nacional de Zonas Francas,Chubut Somos Todos,15350.0,0.0,15350.0
"GIACOPPO, Silvia del Rosario",3957/2016,Colombia,29-09-2016,04-10-2016,0,800.0,0.0,Plebiscito,Unión Cívica Radical,12480.0,0.0,12480.0
"FELLNER, Liliana",3759/2016,Panamá / Ecuador,13-10-2016,18-10-2016,0,1350.0,0.0,Parlamento Latinoamericano,PJ Frente para la Victoria,20655.0,0.0,20655.0
"CREXELL, Lucila",3613/2016,Suiza,19-10-2016,29-10-2016,0,0.0,2100.0,Asamblea Unión Interparlamentaria,Movimiento Popular Neuquino,0.0,37905.0,37905.0
"URTUBEY, Rodolfo",3613/2016,Suiza,20-10-2016,31-10-2016,0,0.0,2100.0,Asamblea Unión Interparlamentaria,PJ Frente para la Victoria,0.0,37905.0,37905.0
"ROMERO, Juan Carlos",3613/2016,Suiza,20-10-2016,29-10-2016,0,0.0,1500.0,Asamblea Unión Interparlamentaria,Frente Popular Salteño,0.0,27075.0,27075.0
"OJEDA, José Anatolio",3620/2016,Ecuador,17-10-2016,20-10-2016,0,600.0,0.0,Parlamento Latinoamericano Caribeño,PJ Frente para la Victoria,9240.0,0.0,9240.0
"ALMIRON, Ana Claudia",3620/2016,Ecuador,17-10-2016,20-10-2016,0,800.0,0.0,Parlamento Latinoamericano Caribeño,PJ Frente para la Victoria,12320.0,0.0,12320.0
"ITURREZ DE CAPPELLINI,  Ada Rosa",3805/2016,Panamá,13-10-2016,17-10-2016,0,750.0,0.0,Parlamento Latinoamericano Caribeño,Frente Cívico por Santiago,11475.0,0.0,11475.0
"BOYADJIAN, Miriam Ruth",3805/2016,Panamá,13-10-2016,17-10-2016,0,1250.0,0.0,Parlamento Latinoamericano Caribeño,Movimiento Popular Fueguino,19125.0,0.0,19125.0
"PINEDO, Federico",3769/2016,España / Suiza,20-10-2016,31-10-2016,0,0.0,2100.0,Asamblea Unión Interparlamentaria,Frente Pro,0.0,37905.0,37905.0
"RODRÍGUEZ SAÁ, Adolfo",4097/2016,Panamá,13-10-2016,16-10-2016,0,750.0,0.0,Parlamento Latinoamericano Caribeño,Alianza Compromiso Federal,11475.0,0.0,11475.0
"GIACOPPO, Silvia del Rosario",4219/2016,Panamá,13-10-2016,19-10-2016,0,1000.0,0.0,Parlamento Latinoamericano Caribeño,Unión Cívica Radical,15300.0,0.0,15300.0
"MIRKIN, Beatriz",4412/2016,Uruguay,26-10-2016,28-10-2016,0,600.0,0.0,CEPAL,PJ Frente para la Victoria,9240.0,0.0,9240.0
"GIACOPPO, Silvia del Rosario",4412/2016,Uruguay,25-10-2016,27-10-2016,0,600.0,0.0,CEPAL,Unión Cívica Radical,9240.0,0.0,9240.0
"CASTILLO, Oscar Aníbal",3445/2016,Estados Unidos,06-11-2016,13-11-2016,0,2100.0,0.0,Veedor elecciones presidenciales E.E.U.U.,Frente Cívico y Social de Catamarca,33705.0,0.0,33705.0
"ABAL MEDINA, Juan Manuel",3445/2016,Estados Unidos,06-11-2016,13-11-2016,0,1800.0,0.0,Veedor elecciones presidenciales E.E.U.U.,PJ Frente para la Victoria,28890.0,0.0,28890.0
"GIACOPPO, Silvia del Rosario",4632/2016,México,08-11-2016,11-11-2016,0,1000.0,0.0,Foro Parlamentario,Unión Cívica Radical,15150.0,0.0,15150.0
"RODRÍGUEZ MACHADO, Laura Elena",4788/2016,Alemania,20-11-2016,24-11-2016,0,0.0,2100.0,"Programa de Estudio y Diálogo para Políticos
de Argentina",Frente Pro,0.0,37170.0,37170.0
"LEGUIZAMÓN, María Laura",4641/2016,España,25-11-2016,27-11-2016,0,0.0,900.0,Congreso Nacional Dificultades de Aprendizaje,PJ Frente para la Victoria,0.0,15930.0,15930.0
"DE LA ROSA, María Graciela",4763/2016,Panamá,01-12-2016,04-12-2016,0,1000.0,0.0,Parlatino,PJ Frente para la Victoria,16050.0,0.0,16050.0
"KUNATH, Sigrid Elisabeth",4763/2016,Panamá,01-12-2016,03-12-2016,0,750.0,0.0,Parlatino,PJ Frente para la Victoria,12037.5,0.0,12037.5
"OJEDA, José Anatolio",5002/2016,Panamá,01-12-2016,04-12-2016,0,750.0,0.0,Parlatino,PJ Frente para la Victoria,12037.5,0.0,12037.5
"GIACOPPO, Silvia Del Rosario",5002/2016,Panamá,01-12-2016,03-12-2016,0,750.0,0.0,Parlatino,Unión Cívica Radical,12037.5,0.0,12037.5
"FELLNER, Liliana",5002/2016,Panamá,01-12-2016,05-12-2016,0,1250.0,0.0,Parlatino,PJ Frente para la Victoria,20062.5,0.0,20062.5
"LOVERA, Daniel Aníbal",4495/2016,Colombia,05-12-2016,12-12-2016,0,1400.0,0.0,Conferencia Regional de Medellín 2016,PJ La Pampa,22540.000000000004,0.0,22540.000000000004
"PAIS, Juan Mario",4984/2016,Panamá,01-12-2016,05-12-2016,0,1000.0,0.0,Parlatino,PJ Frente para la Victoria,16050.0,0.0,16050.0
"LEGUIZAMÓN, María Laura",5524/2016,Emiratos Árabes Unidos,09-12-2016,14-12-2016,0,0.0,0.0,"Cumbre de Presidentas de Parlamento Unidas
para configurar el futuro",PJ Frente para la Victoria,0.0,0.0,0.0
