Source,Target,weight
0,21743,1.0
1,20862,1.0
2,57805,1.0
3,62865,1.0
4,62865,1.0
5,40266,1.0
6,70177,1.0
7,44738,1.0
7,7,1.0
7,54000,1.0
7,38280,1.0
8,42998,1.0
8,41877,1.0
8,66046,1.0
9,35539,1.0
10,60687,1.0
10,32907,1.0
10,11756,1.0
10,35724,1.0
10,27558,1.0
11,26141,1.0
12,42944,1.0
12,55276,1.0
12,63087,1.0
12,12923,1.0
13,65216,1.0
14,28457,1.0
15,52249,1.0
16,68160,1.0
17,58139,1.0
18,20442,1.0
19,44699,1.0
19,68160,1.0
19,31466,1.0
19,2295,1.0
19,5701,1.0
19,18126,1.0
20,57256,1.0
21,22161,1.0
22,5889,1.0
23,38690,1.0
24,22890,1.0
24,39496,1.0
24,35724,3.0
24,14042,1.0
24,31003,1.0
24,14059,1.0
24,12074,1.0
24,11404,1.0
24,52176,1.0
25,51688,1.0
26,22890,1.0
26,63931,1.0
27,22161,1.0
28,58199,1.0
28,69429,1.0
28,46987,1.0
29,69690,1.0
29,40046,1.0
30,21743,1.0
31,53180,1.0
32,64184,2.0
32,48212,1.0
33,3506,1.0
34,26141,1.0
35,31993,1.0
36,29108,1.0
37,10756,1.0
37,945,1.0
38,23408,1.0
38,44913,1.0
38,16271,1.0
38,59486,1.0
38,27154,3.0
38,71265,1.0
38,18417,1.0
38,1684,1.0
38,36632,1.0
38,42288,1.0
38,38,1.0
38,53064,1.0
38,49210,1.0
39,52403,1.0
39,65589,1.0
39,50924,1.0
40,10671,1.0
40,14059,1.0
41,21338,1.0
42,57805,1.0
43,37420,1.0
43,22649,2.0
43,47161,1.0
43,33333,1.0
43,9538,1.0
43,38642,1.0
43,15825,2.0
43,21611,1.0
43,54704,1.0
43,37488,1.0
43,65382,1.0
44,17581,1.0
45,55007,1.0
45,13513,1.0
45,45432,1.0
45,15787,1.0
45,11974,1.0
45,42466,1.0
45,25862,2.0
45,60068,1.0
45,11221,1.0
45,28403,1.0
45,43800,1.0
45,67330,1.0
45,2781,1.0
46,26223,1.0
46,66866,1.0
47,2536,1.0
47,39290,1.0
47,21999,1.0
47,35724,13.0
47,22055,1.0
47,47952,1.0
47,44278,1.0
47,14059,1.0
47,15144,1.0
47,24932,1.0
48,58139,1.0
49,14059,1.0
49,11756,1.0
49,37978,1.0
50,19726,1.0
51,61959,1.0
52,27154,1.0
52,14059,1.0
53,57805,1.0
54,16404,1.0
55,71057,1.0
55,52176,1.0
56,22161,1.0
57,5889,1.0
57,46987,1.0
57,5701,1.0
57,47640,1.0
57,59249,1.0
58,27630,1.0
58,32907,1.0
58,35724,1.0
58,61799,1.0
58,47100,1.0
58,14629,1.0
58,39339,1.0
58,54820,1.0
58,50335,12.0
58,2506,1.0
58,11445,1.0
59,64506,1.0
59,67614,1.0
59,32279,1.0
60,43582,1.0
61,26141,2.0
61,46987,1.0
62,67725,1.0
63,69281,1.0
63,46209,1.0
64,49490,1.0
65,29108,1.0
66,61743,1.0
66,50872,1.0
67,59423,1.0
67,26141,2.0
67,48286,1.0
68,57714,1.0
69,14059,1.0
70,25549,1.0
70,16092,1.0
71,31697,1.0
72,24749,1.0
73,54455,1.0
73,11533,1.0
73,24819,1.0
73,34802,1.0
73,30501,1.0
73,4726,2.0
73,52176,1.0
74,26141,1.0
75,8696,1.0
76,45454,1.0
76,68955,1.0
77,7799,1.0
77,62992,1.0
78,25773,1.0
79,26141,1.0
79,46987,1.0
80,11603,1.0
81,5889,1.0
81,51121,1.0
82,71525,1.0
83,33338,1.0
83,62992,1.0
84,26141,1.0
85,24690,1.0
86,46514,1.0
86,33074,1.0
87,5047,1.0
88,48273,1.0
88,53644,1.0
88,20964,1.0
89,32907,1.0
89,13188,1.0
89,31993,1.0
90,22161,1.0
91,31509,1.0
91,64506,1.0
91,18974,1.0
91,64492,1.0
92,22161,1.0
93,26141,1.0
94,35724,1.0
95,58746,1.0
96,71065,1.0
97,17509,1.0
97,48212,3.0
97,26141,1.0
98,22161,1.0
99,9336,1.0
99,2801,1.0
100,32907,1.0
100,1797,1.0
101,35724,1.0
102,58139,1.0
103,52176,1.0
104,20499,1.0
104,4082,1.0
104,14042,1.0
104,50465,1.0
104,14059,1.0
104,51315,1.0
104,55608,1.0
104,48445,1.0
104,30845,1.0
105,3057,1.0
106,39520,1.0
106,71065,1.0
107,56891,1.0
107,26473,1.0
108,2076,1.0
108,35474,1.0
108,70383,1.0
108,35231,1.0
108,47558,1.0
108,51536,1.0
108,64336,1.0
108,30266,1.0
108,58011,1.0
108,37759,1.0
108,31086,1.0
108,34175,1.0
108,28351,1.0
108,17972,1.0
108,34986,1.0
108,49294,1.0
108,64209,1.0
108,68263,1.0
109,26141,2.0
110,70173,1.0
111,50218,1.0
112,32907,1.0
113,63872,1.0
113,1353,1.0
113,57402,1.0
114,22161,1.0
115,36320,1.0
115,65151,1.0
116,40331,1.0
116,71065,1.0
117,68848,2.0
117,31482,4.0
117,23028,2.0
117,28013,1.0
117,18686,2.0
117,10427,2.0
118,61728,1.0
119,12382,1.0
119,44132,1.0
119,31069,1.0
120,302,1.0
121,4726,1.0
122,27558,2.0
122,11756,1.0
123,62865,1.0
124,43187,1.0
125,52131,1.0
125,5875,1.0
125,26141,1.0
126,70257,1.0
126,33416,1.0
127,51843,1.0
127,37440,1.0
127,40849,1.0
127,54518,1.0
127,65566,1.0
128,22161,1.0
129,456,1.0
130,5391,1.0
130,45612,1.0
130,26141,1.0
130,12926,1.0
131,22161,1.0
132,10504,1.0
133,64682,1.0
133,14042,1.0
134,17581,2.0
135,69086,1.0
136,31125,1.0
137,1127,1.0
138,17581,1.0
139,52146,1.0
140,13927,1.0
141,5889,1.0
142,10262,1.0
143,31330,1.0
144,59423,1.0
144,26141,1.0
144,62992,1.0
145,32953,1.0
145,38474,1.0
146,37030,1.0
147,57805,1.0
148,22161,1.0
149,59497,1.0
150,57534,1.0
150,47017,1.0
150,48309,1.0
151,17581,1.0
152,36320,1.0
152,65151,1.0
152,32249,1.0
153,60255,1.0
154,32754,1.0
154,27406,1.0
154,37613,1.0
154,51726,1.0
154,43735,2.0
154,56355,1.0
154,5790,1.0
154,55849,1.0
154,28484,1.0
155,30515,1.0
155,60687,1.0
155,55299,1.0
155,63931,1.0
156,59695,1.0
156,13903,2.0
156,156,1.0
156,39921,1.0
156,14440,1.0
156,49564,1.0
156,60121,2.0
156,60826,1.0
