id,label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
0,jxssicatran,0,1,1,0.0,1.0,1.0,0
1,maia7210,0,1,1,0.0,1.0,1.0,0
2,Ksofkimd1,0,1,1,0.0,1.0,1.0,0
3,FernandezJuana_,0,1,1,0.0,1.0,1.0,0
4,issuesyam,0,1,1,0.0,1.0,1.0,0
5,lamorza78,0,1,1,0.0,1.0,1.0,0
6,monicagalbo,0,1,1,0.0,1.0,1.0,0
7,MNA_SanIsidro,1,4,5,1.0,4.0,5.0,0
8,DangereuseProd,0,3,3,0.0,3.0,3.0,0
9,horaciodealva,0,1,1,0.0,1.0,1.0,0
10,JUANGROSS,0,5,5,0.0,5.0,5.0,0
11,LilianPardas,0,1,1,0.0,1.0,1.0,0
12,fedeacademdq,0,4,4,0.0,4.0,4.0,0
13,alfredovitale1,0,1,1,0.0,1.0,1.0,0
14,Borkan_0768,0,1,1,0.0,1.0,1.0,0
15,AureliaGroup,0,1,1,0.0,1.0,1.0,0
16,gajeelflying,0,1,1,0.0,1.0,1.0,0
17,jordan36m,0,1,1,0.0,1.0,1.0,0
18,apudx,0,1,1,0.0,1.0,1.0,0
19,Artemisfow,0,6,6,0.0,6.0,6.0,0
20,FedeBerdullas,0,1,1,0.0,1.0,1.0,0
21,famlip,0,1,1,0.0,1.0,1.0,0
22,julianSkay,0,1,1,0.0,1.0,1.0,0
23,lupelalinda,0,1,1,0.0,1.0,1.0,0
24,lauahernandez,0,9,9,0.0,11.0,11.0,131
25,NoravPalacios,0,1,1,0.0,1.0,1.0,0
26,BoringMundanes,0,2,2,0.0,2.0,2.0,0
27,pacmandoo33,0,1,1,0.0,1.0,1.0,0
28,DamianStepan,0,3,3,0.0,3.0,3.0,0
29,BlueCherrybomb,0,2,2,0.0,2.0,2.0,0
30,CassidyFerguson,0,1,1,0.0,1.0,1.0,0
31,MaxiRaimondi,0,1,1,0.0,1.0,1.0,0
32,RDRL_py,0,2,2,0.0,3.0,3.0,0
33,selfhelp5,0,1,1,0.0,1.0,1.0,0
34,agustinbru,0,1,1,0.0,1.0,1.0,0
35,apellegrini2508,0,1,1,0.0,1.0,1.0,0
36,MaguiNaiara,0,1,1,0.0,1.0,1.0,0
37,DiegoGabSanchez,0,2,2,0.0,2.0,2.0,0
38,somos_pilar,1,13,14,1.0,15.0,16.0,147
39,LEBasterra,0,3,3,0.0,3.0,3.0,0
40,GuillermoVol,0,2,2,0.0,2.0,2.0,0
41,crwilley,0,1,1,0.0,1.0,1.0,0
42,14_larsen,0,1,1,0.0,1.0,1.0,0
43,pabloirossi,0,11,11,0.0,13.0,13.0,131
44,DestFitch,0,1,1,0.0,1.0,1.0,0
45,PacoGaribaldi,0,13,13,0.0,14.0,14.0,0
46,ManuBarria_CARP,0,2,2,0.0,2.0,2.0,0
47,perfumealibro,0,10,10,0.0,22.0,22.0,131
48,RieOgasawara17,0,1,1,0.0,1.0,1.0,0
49,aramayorossy,0,3,3,0.0,3.0,3.0,0
50,LDupont4Poco,0,1,1,0.0,1.0,1.0,0
51,ofe_lia_tito,0,1,1,0.0,1.0,1.0,0
52,lidiaolivera2,0,2,2,0.0,2.0,2.0,0
53,JuliHenriquez_,0,1,1,0.0,1.0,1.0,0
54,pedi_suzanne,0,1,1,0.0,1.0,1.0,0
55,Ordonezrj,0,2,2,0.0,2.0,2.0,0
56,ThoughtofBoJack,0,1,1,0.0,1.0,1.0,0
57,adelapuerca,0,5,5,0.0,5.0,5.0,0
58,MariaSilgrassi,0,11,11,0.0,22.0,22.0,131
59,luisbrunno,0,3,3,0.0,3.0,3.0,0
60,kamar_ana,0,1,1,0.0,1.0,1.0,0
61,juanDanielmio1,0,2,2,0.0,3.0,3.0,0
62,Paulinavelezok,0,1,1,0.0,1.0,1.0,0
63,steven_bayes,0,2,2,0.0,2.0,2.0,0
64,orianaabelen,0,1,1,0.0,1.0,1.0,0
65,luciana_abg,0,1,1,0.0,1.0,1.0,0
66,SofiFasa,0,2,2,0.0,2.0,2.0,0
67,diegoush01,0,3,3,0.0,4.0,4.0,0
68,BrisaGodoyy,0,1,1,0.0,1.0,1.0,0
69,lucylococo,0,1,1,0.0,1.0,1.0,0
70,etiennenne,0,2,2,0.0,2.0,2.0,0
71,Maryjacq88,0,1,1,0.0,1.0,1.0,0
72,_agostinalara,0,1,1,0.0,1.0,1.0,0
73,rosilez53,0,7,7,0.0,8.0,8.0,131
74,JuanFranconeri,0,1,1,0.0,1.0,1.0,0
75,XovekMty,0,1,1,0.0,1.0,1.0,0
76,LuckasPias,0,2,2,0.0,2.0,2.0,0
77,roxyasensio,0,2,2,0.0,2.0,2.0,0
78,EmilianoAMolina,0,1,1,0.0,1.0,1.0,0
79,unareventada,0,2,2,0.0,2.0,2.0,0
80,iGnarl,0,1,1,0.0,1.0,1.0,0
81,AnaNo_duerme,0,2,2,0.0,2.0,2.0,0
82,VAMOSBOCALCDSM,0,1,1,0.0,1.0,1.0,0
83,Loza3Pilar,0,2,2,0.0,2.0,2.0,0
84,FerSchachner,0,1,1,0.0,1.0,1.0,0
85,NicoAlejandroG,0,1,1,0.0,1.0,1.0,0
86,villlarroel,0,2,2,0.0,2.0,2.0,0
87,MatiLaguzzi,0,1,1,0.0,1.0,1.0,0
88,luisnovaresio,0,3,3,0.0,3.0,3.0,0
89,AnitaFor_Ever,0,3,3,0.0,3.0,3.0,0
90,duhgurlz,0,1,1,0.0,1.0,1.0,0
91,MusaMercedes,0,4,4,0.0,4.0,4.0,0
92,essbeeaych,0,1,1,0.0,1.0,1.0,0
93,caaamilaortiz03,0,1,1,0.0,1.0,1.0,0
94,aniigoldman,0,1,1,0.0,1.0,1.0,0
95,EppurseMuove,0,1,1,0.0,1.0,1.0,0
96,aurelio9social,0,1,1,0.0,1.0,1.0,0
97,FranciscoRossi_,0,3,3,0.0,5.0,5.0,0
98,AudreyBTannen,0,1,1,0.0,1.0,1.0,0
99,mariboyer,0,2,2,0.0,2.0,2.0,0
100,Elberg_amocha,0,2,2,0.0,2.0,2.0,0
101,lamanchaladrona,0,1,1,0.0,1.0,1.0,0
102,lauren127_,0,1,1,0.0,1.0,1.0,0
103,josepuy,0,1,1,0.0,1.0,1.0,0
104,GabrielaDivita,0,9,9,0.0,9.0,9.0,131
105,EleCavallo,0,1,1,0.0,1.0,1.0,0
106,valegenneroo,0,2,2,0.0,2.0,2.0,0
107,litopueyo,0,2,2,0.0,2.0,2.0,0
108,boinablancaucr,0,18,18,0.0,18.0,18.0,173
109,avalcha,0,1,1,0.0,2.0,2.0,0
110,MariaSool16,0,1,1,0.0,1.0,1.0,0
111,marianamooo,0,1,1,0.0,1.0,1.0,0
112,Cecilia0001,0,1,1,0.0,1.0,1.0,0
113,Solitamm,0,3,3,0.0,3.0,3.0,0
114,mucketymucks,0,1,1,0.0,1.0,1.0,0
115,BloodyDeby,0,2,2,0.0,2.0,2.0,0
116,Lokis_7w7,0,2,2,0.0,2.0,2.0,0
117,alejandropa23,0,6,6,0.0,13.0,13.0,0
118,_florbertolino,0,1,1,0.0,1.0,1.0,0
119,DelegacionRioIV,0,3,3,0.0,3.0,3.0,0
120,MaraLauraBosett,0,1,1,0.0,1.0,1.0,0
121,belenhuber,0,1,1,0.0,1.0,1.0,0
122,adribidondo1,0,2,2,0.0,3.0,3.0,0
123,ChimmiFlow,0,1,1,0.0,1.0,1.0,0
124,joseluquese,0,1,1,0.0,1.0,1.0,0
125,lu_pitufina,0,3,3,0.0,3.0,3.0,0
126,ElizaAnnie,0,2,2,0.0,2.0,2.0,0
127,Republicana2017,0,5,5,0.0,5.0,5.0,0
128,prjx,0,1,1,0.0,1.0,1.0,0
129,natialta,0,1,1,0.0,1.0,1.0,0
130,DeboraMasturini,0,4,4,0.0,4.0,4.0,0
131,PatrickBrosnan2,0,1,1,0.0,1.0,1.0,0
132,emiliaperez27,0,1,1,0.0,1.0,1.0,0
133,MarthaRomanEspn,0,2,2,0.0,2.0,2.0,0
134,HoodBitchShit,0,1,1,0.0,2.0,2.0,0
135,fullofbalogna,0,1,1,0.0,1.0,1.0,0
136,2014Franko,0,1,1,0.0,1.0,1.0,0
137,Jiimuuu,0,1,1,0.0,1.0,1.0,0
138,X_E_U_S,0,1,1,0.0,1.0,1.0,0
139,ishatski,0,1,1,0.0,1.0,1.0,0
140,nudanujin,0,1,1,0.0,1.0,1.0,0
141,Abitoo1,0,1,1,0.0,1.0,1.0,0
142,LuaBelu,0,1,1,0.0,1.0,1.0,0
